empleado_id,area,salario_cop,fecha_ingreso,antiguedad_anios,tipo_contrato,sede,ausentismo_dias_anio,rotacion_riesgo,costo_total_cop,sobre_smlv
EMP-0242,I+D e Innovación,8485593,2021-12-15,4.7,Indefinido,Planta Palmira,4,Bajo,12898101,5.96
EMP-0243,Administración & Finanzas,3895411,2018-06-15,8.2,Indefinido,Planta Palmira,2,Medio,5921024,2.74
EMP-0244,Administración & Finanzas,6621167,2019-05-26,7.3,Indefinido,CD Yumbo,3,Bajo,10064173,4.65
EMP-0245,Administración & Finanzas,3812242,2015-05-29,11.3,Indefinido,CD Yumbo,1,Alto,5794607,2.68
EMP-0246,Administración & Finanzas,6223938,2019-01-04,7.7,Fijo,Oficina Cali,6,Bajo,9460385,4.37
EMP-0247,Administración & Finanzas,5583034,2022-10-13,3.9,Indefinido,Planta Palmira,12,Medio,8486211,3.92
EMP-0248,Administración & Finanzas,4961423,2019-05-15,7.3,Indefinido,Planta Palmira,1,Bajo,7541362,3.49
EMP-0249,Administración & Finanzas,5961399,2021-09-21,4.9,Indefinido,Planta Palmira,0,Bajo,9061326,4.19
EMP-0250,Administración & Finanzas,8643643,2024-04-14,2.4,Indefinido,Oficina Cali,5,Bajo,13138337,6.07
EMP-0251,Administración & Finanzas,7364185,2018-01-28,8.6,Indefinido,Planta Palmira,11,Bajo,11193561,5.17
EMP-0252,Administración & Finanzas,7665940,2015-10-23,10.9,Indefinido,Oficina Cali,2,Bajo,11652228,5.39
EMP-0253,Administración & Finanzas,5948795,2024-07-04,2.2,Indefinido,CD Yumbo,1,Bajo,9042168,4.18
EMP-0254,Administración & Finanzas,3604726,2020-12-10,5.7,Indefinido,Planta Palmira,3,Bajo,5479183,2.53
EMP-0255,Administración & Finanzas,6869991,2015-01-13,11.6,Fijo,Planta Palmira,1,Bajo,10442386,4.83
EMP-0256,Administración & Finanzas,5397813,2025-07-30,1.1,Fijo,Planta Palmira,0,Bajo,8204675,3.79
EMP-0257,Administración & Finanzas,4996493,2017-05-01,9.3,Indefinido,CD Yumbo,2,Bajo,7594669,3.51
EMP-0258,Administración & Finanzas,8622264,2022-09-22,3.9,Indefinido,Planta Palmira,0,Bajo,13105841,6.06
EMP-0259,Administración & Finanzas,4709748,2022-10-12,3.9,Indefinido,CD Yumbo,7,Medio,7158816,3.31
EMP-0260,Administración & Finanzas,6147678,2017-05-12,9.3,Indefinido,Planta Palmira,0,Bajo,9344470,4.32
EMP-0261,Administración & Finanzas,4581011,2023-03-03,3.5,Indefinido,Planta Palmira,2,Medio,6963136,3.22
EMP-0262,Dirección,22637704,2020-09-29,5.9,Indefinido,CD Yumbo,6,Bajo,34409310,15.9
EMP-0263,Dirección,18766753,2016-09-04,10.0,Indefinido,Tiendas,2,Medio,28525464,13.18
EMP-0264,Dirección,20559257,2017-12-22,8.7,Indefinido,Tiendas,1,Bajo,31250070,14.44
EMP-0265,Dirección,23452051,2018-03-20,8.4,Obra o labor,Planta Palmira,10,Bajo,35647117,16.47
EMP-0266,Dirección,24332202,2016-10-06,9.9,Indefinido,Planta Palmira,1,Bajo,36984947,17.09
EMP-0267,Dirección,22572869,2021-07-03,5.2,Indefinido,Planta Palmira,0,Bajo,34310760,15.86
EMP-0268,Dirección,25889825,2023-11-09,2.8,Indefinido,Planta Palmira,2,Medio,39352534,18.19
